run,event,trackIndex,gid,layer,wire,localLayer,sLayer,rawDriftDist,rawDriftDistErr,middleX,middleY,isSignal,PID,charge,turnId,scaledFltLen,lrAmbig,posX,posY,posZ,momX,momY,momZ,initialPosX,initialPosY,initialPosZ,initialMomX,initialMomY,initialMomZ
-9947,12,0,388,6,64,2,1,0.941138,0.0174412,7.47172,-12.748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,0,391,6,67,2,1,0.95082,0.0174412,10.2412,-10.6515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,1,397,6,73,2,1,0.237496,0.0109441,13.9607,-4.84114,1,2212,1,1,0.0693102,1,14.3349,-3.68731,-15.384,0.245861,-0.0415775,-0.29091,0.0537745,0.00156384,1.93036,0.24431,-0.0848671,-0.305618,
-9947,12,4,400,6,76,2,1,0.17018,0.0120048,14.7051,-1.44833,1,-211,-1,1,0.051896,1,14.6787,-1.91008,10.2862,0.179837,-0.0442508,0.103997,0.0537745,0.00156384,1.93036,0.186084,-0.00511756,0.105916,
-9947,12,2,417,7,13,3,1,0.474498,0.0131356,5.79812,14.8141,1,-2212,-1,1,0.0382251,1,5.3595,15.0132,-2.67886,0.0934652,0.199242,-0.062368,0.0537745,0.00156384,1.93036,0.0614813,0.246262,-0.077464,
-9947,12,0,437,7,33,3,1,1.12551,0.019755,-14.8141,5.79812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,3,438,7,34,3,1,0.266265,0.0116408,-15.2233,4.61795,1,211,1,1,0.113013,-1,-15.4341,4.05513,-12.8851,-0.12953,0.0104569,-0.119782,0.0537745,0.00156384,1.93036,-0.119796,0.0543995,-0.120827,
-9947,12,1,478,7,74,3,1,0.316038,0.0112431,15.2233,-4.61795,1,2212,1,1,0.0729282,-1,15.4705,-3.87278,-16.7264,0.246501,-0.0380655,-0.290793,0.0537745,0.00156384,1.93036,0.24431,-0.0848671,-0.305618,
-9947,12,4,481,7,77,3,1,0.552195,0.0180609,15.8807,-0.936536,1,-211,-1,1,0.0559547,-1,15.7199,-2.1767,10.8897,0.179011,-0.0474903,0.103984,0.0537745,0.00156384,1.93036,0.186084,-0.00511756,0.105916,
-9947,12,2,498,8,14,0,2,0.291678,0.00859935,6.78165,18.4959,1,-2212,-1,1,0.0462583,-1,7.03182,18.354,-3.73893,0.102282,0.194292,-0.0621594,0.0537745,0.00156384,1.93036,0.0614813,0.246262,-0.077464,
-9947,12,0,501,8,17,0,2,0.937263,0.0160273,2.03365,19.5948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,5,502,8,18,0,2,0.679805,0.0126157,0.408585,19.6958,1,211,1,-1,1.33439,-1,0.976989,19.3534,-49.253,-0.0217318,-0.0361124,-0.0322828,0.0537745,0.00156384,1.93036,0.0455061,-0.034186,-0.0383782,
-9947,12,0,515,8,31,0,2,1.03532,0.0160273,-17.1274,9.73349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,0,516,8,32,0,2,1.05446,0.0160273,-17.8727,8.28587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9947,12,3,519,8,35,0,2,0.539403,0.00879099,-19.3599,3.64483,1,211,1,1,0.14003,-1,-19.3621,4.19393,-16.5102,-0.12989,-0.000513072,-0.119819,0.0537745,0.00156384,1.93036,-0.119796,0.0543995,-0.120827,
-9947,12,5,557,8,73,0,2,0.323977,0.00837948,19.3599,-3.64483,1,211,1,1,0.289263,1,19.2389,-3.35861,-10.8872,0.0433322,0.0182525,-0.0291664,0.0537745,0.00156384,1.93036,0.0455061,-0.034186,-0.0383782,
-9947,12,2,574,9,14,1,2,0.368057,0.00807174,8.1526,19.678,1,-2212,-1,1,0.0515315,1,7.85118,19.8489,-4.22158,0.108265,0.190876,-0.0620334,0.0537745,0.00156384,1.93036,0.0614813,0.246262,-0.077464,
-9947,12,5,577,9,17,1,2,0.667473,0.0102729,3.07246,21.0772,1,211,1,-1,1.26373,1,2.59802,21.5044,-47.2142,-0.0285199,-0.0316434,-0.0319383,0.0537745,0.00156384,1.93036,0.0455061,-0.034186,-0.0383782,
-9947,12,5,578,9,18,1,2,0.838113,0.0144819,1.32143,21.259,1,211,1,-1,1.28098,-1,1.95815,20.7594,-47.9514,-0.0262741,-0.0333997,-0.0320015,0.0537745,0.00156384,1.93036,0.0455061,-0.034186,-0.0383782,
-9947,12,3,595,9,35,1,2,0.635912,0.00955035,-20.7515,4.80251,1,211,1,1,0.151614,1,-20.7255,4.16152,-17.7687,-0.129744,-0.00530258,-0.119848,0.0537745,0.00156384,1.93036,-0.119796,0.0543995,-0.120827,
-9947,12,1,633,9,73,1,2,0.307312,0.00841176,20.7515,-4.80251,1,2212,1,1,0.100174,1,20.7773,-4.52049,-22.9563,0.248376,-0.0227306,-0.290581,0.0537745,0.00156384,1.93036,0.24431,-0.0848671,-0.305618,
-9947,12,5,634,9,74,1,2,0.588086,0.00876268,21.0772,-3.07246,1,211,1,1,0.324129,1,20.7746,-2.55781,-11.9665,0.0403622,0.023805,-0.0293007,0.0537745,0.00156384,1.93036,0.0455061,-0.034186,-0.0383782,
-9947,12,5,635,9,75,1,2,0.803819,0.0144819,21.259,-1.32143,1,211,1,1,0.33675,-1,21.7074,-1.97465,-12.654,0.0386069,0.0265376,-0.0293056,0.0537745,0.00156384,1.93036,0.0455061,-0.034186,-0.0383782,
-9947,12,2,652,10,16,2,2,0.344822,0.00759652,8.3459,21.3841,1,-2212,-1,1,0.0548185,-1,8.63973,21.2111,-4.66641,0.111362,0.189038,-0.0618531,0.0537745,0.00156384,1.93036,0.0614813,0.246262,-0.077464,
-9947,12,5,655,10,19,2,2,0.114408,0.0102124,3.60966,22.6694,1,211,1,-1,1.2078,-1,3.68327,22.599,-46.0681,-0.0322892,-0.0283159,-0.0315847,0.0537745,0.00156384,1.93036,0.0455061,-0.034186,-0.0383782,
-9947,12,3,677,10,41,2,2,0.447014,0.00764291,-22.6694,3.60966,1,211,1,1,0.160861,-1,-22.7061,4.04783,-19.6001,-0.129357,-0.0108434,-0.119901,0.0537745,0.00156384,1.93036,-0.119796,0.0543995,-0.120827,
-9947,12,0,718,10,82,2,2,1.05965,0.0143702,21.3841,-8.3459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
